audio_path,audio_filename,subtitle,text_for_tts,reason
\voice\codriver\detail_big_jump,1.wav,grande salto,grande salto,traduzione_mista
\voice\codriver\detail_big_jump,2.wav,grande salto,grande salto,traduzione_mista
\voice\codriver\detail_big_jump,3.wav,grande salto,grande salto,traduzione_mista
\voice\codriver\detail_small_crest,161.wav,piccolo dosso,piccolo dosso,traduzione_mista
\voice\codriver\detail_small_crest,162.wav,piccolo dosso,piccolo dosso,traduzione_mista
\voice\codriver\detail_small_crest,163.wav,piccolo dosso,piccolo dosso,traduzione_mista
\voice\codriver\detail_small_crest,164.wav,piccolo dosso,piccolo dosso,traduzione_mista
\voice\codriver\detail_small_crest_rushed,261.wav,piccolo dosso,piccolo dosso,traduzione_mista
\voice\codriver\detail_small_crest_rushed,262.wav,piccolo dosso,piccolo dosso,traduzione_mista
\voice\codriver\detail_small_crest_rushed,263.wav,piccolo dosso,piccolo dosso,traduzione_mista
\voice\codriver\detail_small_crest_rushed,264.wav,piccolo dosso,piccolo dosso,traduzione_mista
\voice\conditions\light_rain_decreasing,2_op_prefix_ok.wav,"pioggia leggera ora, sembra che stia migliorando","pioggia leggera ora, sembra che stia migliorando",traduzione_mista
\voice\conditions\light_rain_decreasing,4.wav,"abbiamo pioggia leggera qui, si sta schiarendo","abbiamo pioggia leggera qui, si sta schiarendo",traduzione_mista
\voice\conditions\light_rain_increasing,3.wav,"abbiamo pioggia leggera qui, sta aumentando","abbiamo pioggia leggera qui, sta aumentando",traduzione_mista
\voice\conditions\mid_rain_increasing,1_op_prefix_ok.wav,"arriva pioggia vera, sembra in aumento","arriva pioggia vera, sembra in aumento",traduzione_mista
\voice\conditions\seeing_some_rain,1_op_prefix_ok.wav,stiamo vedendo un po' di pioggia,stiamo vedendo un po' di pioggia,traduzione_mista
\voice\conditions\seeing_some_rain,5_op_prefix_ok.wav,stiamo vedendo un po' di pioggia,stiamo vedendo un po' di pioggia,traduzione_mista
\voice\conditions\track_temp_decreasing_its_now,1.wav,"la temperatura della pista scende, adesso e'","la temperatura della pista scende, adesso e'",traduzione_mista
